bundle,file,category,role,district,load_tier,status,bytes,vertices,triangles,skins,animations,animation_names,sha256
B02-B03,eoncity_pathfinder_prime_11clips.glb,main_character_candidate,Primary player candidate,All districts,Tier 1,PROVISIONAL — owner visual lock,736580,11505,10157,1,11,Idle_02|Idle_11|Walking|Running|Big_Wave_Hello|Hand_on_Hip_Gesture|Checkout_Gesture|Open_Door|Jump_with_Arms_Open|Victory_Cheer|Lower_Weapon_Look_Raise,4fc5f5bc696fa6a992ca86466be39f7e87b156e1589841b6dc5d797081d78b10
B02-B03,eoncity_pathfinder_a_vanguard_6clips.glb,fallback_player_animation_donor,Fallback player and animation donor,Fallback only,Tier 3,READY — not default due weight,1044088,60840,98788,1,6,Idle_12|Walking|Running|Wave_One_Hand|Agree_Gesture|Open_Door,341989730eef8df7648c6bcd5d7df322123f5e890f8a5c8022253cc68fab4f08
B04,eoncity_eonbot_orbit.glb,procedural_eonbot_static,EONBOT companion,All districts / EONBOT Dock,Tier 1,READY — procedural animation,959796,51296,38904,0,0,,aea90f2bde3493b28b832590a77e91de88fb7f9aea6197b9d3b1bc807155922c
B04,eoncity_eonbot_charging_station.glb,procedural_eonbot_static,EONBOT dock,EONBOT Dock / Creator Atrium,Tier 2,READY,464700,30353,40733,0,0,,8ad81c8b04610c10ef499c75585a5ef2887a17a59c8dcd007655d1a0b8164aaf
B05,eoncity_civilian_creator_13clips.glb,character,Creator Atrium host,Creator Atrium,Tier 2,READY,762688,11794,10339,1,13,Checkout Gesture|Female Bend Over Pick Up Inspect|Idle 02|Idle 12|Jump With Arms Open|Lower Weapon Look Raise|Running|Step Forward And Push|Talk With Hands Open|Victory Cheer|Walking|Wave One Hand|Open Door,12b6959f6a9daf7df80380e9db37e77d8168af37e3df7e5d1f9eec840c3b4957
B06,eoncity_creator_trade_6clips.glb,rigged_character,Trade Dome information steward,Trade Dome,Tier 2,READY,814752,44376,74458,1,6,Idle 11|Walking|Running|Wave One Hand|Talk With Hands Open|Open Door,6228f6260804cf95fd6c97af8322c051a6982ba6d3e5e75a1e42e60044362c0d
B06,eoncity_m4_maintenance_specialist_static.glb,static_rigging_candidate,Optional maintenance specialist,Device Lab / Forge,Tier 3,HOLD — X1 already covers role,826984,49226,40508,0,0,,b980213a6f6bf4685ffc86374e1d24d11b2984255de9ba155a08116cd808484f
B06,eoncity_creator_command_static.glb,static_rigging_candidate,Optional command character / statue,Creator Atrium,Tier 3,HOLD — no rig needed for v1,790748,43744,39799,0,0,,9506cdd53b891bc9c55dfdb52098367452966738cb8934b4ec5a3f61a5b0d726
B07,eoncity_eon_architect_12clips.glb,character,Orientation and architecture guide,Orientation Hall / AI Tower,Tier 2,READY,781444,10883,10147,1,12,Alert|Combat_Stance|Formal_Bow|Idle_12|Relax_arms_then_strike_battle_pose|running|Talk_Passionately|Talk_with_Hands_Open|Victory_Cheer|walking_man|Wave_One_Hand|open_door,2a8d47a9cadc6ea37109b569deb6294ef7467cd0e4c77d67c27934c2aa1afc9d
B08,eoncity_civilian_static_candidate.glb,static,Optional distant citizen,Background only,Tier 3,HOLD — Civilian Creator already animated,698696,37181,58176,0,0,,2ed10e8a0f891cd9e9ea831400d61aad8b57fcc6adfef2eff2be472c5e6895e6
B08,eoncity_security_sentinel_static_candidate.glb,static,Optional security NPC,Vault / portals,Tier 3,SUPERSEDED — animated sentinel available; retain only as provenance/LOD source,683672,40858,67978,0,0,,52ec44c5cd930801287930bfd7738934e6bd6dd8e69ada5823f4241dfd518e50
B08,eoncity_x1_worker_8clips.glb,character,Forge worker and maintenance NPC,Forge Basilica / Device Lab,Tier 2,SUPERSEDED — use nine-clip X1 master,708452,11977,10368,1,8,Agree_Gesture|Carry_Heavy_Object_Walk|Female_Bend_Over_Pick_Up_Inspect|Lower_Weapon_Look_Raise|running|Step_Forward_and_Push|walking_man|Wave_One_Hand,75d993d2d47852d20adb63134075742956a8018ce094b205266518917cbceca8
B09-B15,eoncity_ai_tower_core.glb,static,AI / device tower core,Device Lab / Forge,Tier 3,READY,644868,30038,24440,0,0,,b01cb5e1c80ac3b16660e5044cbe34f3010df417794667b62c90b25258ad9ef9
B09-B15,eoncity_ascension_portal.glb,static,Arrival / ascension portal,Orientation / transit,Tier 2,READY,681720,31106,24153,0,0,,1bedd1c550f5725cea9003c9457f2ddc79bc7404dea7f507922706c203b82e41
B09-B15,eoncity_command_chair.glb,static,Creator command seat,Creator Atrium,Tier 2,READY,567248,32435,28563,0,0,,498e8f32d7f91a17b2c997987184ac78f9b4801b03eca87c8c77694b1e12b33e
B09-B15,eoncity_district_hologram.glb,static,District hologram,Creator Atrium / Orientation,Tier 2,READY,730188,34857,24051,0,0,,3f706dba03c1d44922c8fa167ee7eb299228f4767db0f9d38f0052bbf8bb7ab9
B09-B15,eoncity_district_info.glb,static,District information marker,Orientation / district entries,Tier 2,READY,390036,20768,23478,0,0,,88ff692fbb40148cdafeaed4b35ae5a47735164dc53f240c021cb0dbc73cd062
B09-B15,eoncity_forge_basilica.glb,static,Forge district hero building,Forge Basilica,Tier 3,READY,856904,40563,31433,0,0,,5ac8f4e8e1dc6aeb3f3f24e3736ee587465f2e4d661290869e03d1699a4ad81e
B09-B15,eoncity_forge_workbench.glb,static,Interactive Forge workbench,Forge Basilica,Tier 2,READY,535860,31976,26489,0,0,,e0619a17609b3464d787cf3d9840dbcf08fe933dc5f009446d4e9ae1e36ca5c7
B09-B15,eoncity_genesis_core.glb,static,Central energy landmark,Command District plaza,Tier 3,READY,623308,27262,23834,0,0,,c706604ac2f63d59d5b83d530ba00dffe65df8a68e7ea9343d69f67e501a5cf7
B09-B15,eoncity_holo_interface_landmark.glb,static,Agent Theatre interface landmark,Agent Theatre,Tier 3,READY,756856,42116,71364,0,0,,b6c0ba11b167d1173f8211971944e24bb8adf250c08bd088572db860c8309ec4
B09-B15,eoncity_holo_map_beacon.glb,static,Project / city map beacon,Creator Atrium,Tier 2,READY,790972,31932,24137,0,0,,c4f6b14dea03436278df8652f55ed44ae37ad5ed572f9364e2009bfe580d0f7a
B09-B15,eoncity_market_trade_terminal.glb,static,Studio/collection terminal,Trade Dome,Tier 2,READY — informational only,411904,23042,23345,0,0,,ce1d428df733972d9065b27e8768192be954c91c33ec8aaa48f725db9c6d8747
B09-B15,eoncity_nav_info_kiosk.glb,static,Navigation kiosk,Orientation / transit,Tier 2,READY,531944,27858,23476,0,0,,b3d27d9b4beab68971b8659569bc81085fbec5063210ec196cf7a1abd291f663
B09-B15,eoncity_navigator_arc.glb,static,Archive / navigation landmark,Archive Canopy,Tier 3,READY,751892,47743,78998,0,0,,48f4284412e250db0d2122e6095503e3880072b102a14b2ce7773c70fceb168f
B09-B15,eoncity_orientation_hall.glb,static,Orientation Hall hero structure,Orientation Hall,Tier 2,READY,744256,33714,25185,0,0,,2dfff74702331403474079bbb1cf742158b6802affe05476d3a996492621faa9
