City subsystem,Current source state,Target,9.5 definition
Entry and flagship discoverability,Unscored externally,9.5,Signal Frontier is obvious within one action; Command Hub remains clear; no auto-entry or second route.
Command Hub composition and navigation,Source-implemented; owner proof pending,9.5,"All stations/discoveries are ordered, readable, valid and useful; no clutter, dead control or blocked framing."
Living Nexus truth and continuity,Source-implemented; architecture coupled,9.5,Privacy-projected canonical Core snapshot only; no direct Core store/executor imports; zero false live state.
Signal Frontier open-world experience,Source-complete internally; external proof pending,9.5,"First minute, campaign, map, transit, living content, EONBOT and return are polished and reliable."
My Frontier,Source-complete internally; external proof pending,9.5,"Construction, residents, themes, upgrades and reload persistence are intuitive and bounded."
Storm Sector,Source-complete; externally blocked,9.5,"Exact authored package, missions, patrols, transit, transformations and return certified to one digest or hidden."
Core handoffs and verified outcomes,Not yet canonical,9.5,Every City work action uses one versioned handoff and one policy-approved verified outcome; no duplicate progression.
"Missions, XP and Vault Reveals",Multiple authorities,9.5,"One progression authority, exact receipt identity, no unverified XP, cosmetic-only reveals and safe reversal."
"Main character, EONBOT and NPCs",Source-implemented; owner proof pending,9.5,"Visible, animated, role-correct, responsive and collision-safe across all profiles and transitions."
"Art, lighting, weather, audio and world restoration",Source-implemented; owner proof pending,9.5,"Cohesive flagship visual language, readable gameplay, bounded effects and no broken/missing authored presentation."
"Creator Capture, Share and referrals",City-owned implementation today,9.5,"Core-owned local capture, reviewed share/QR/referral handoff, no auto-post, no duplicate reward."
"Data survival, privacy and entitlement",Fragmented City storage today,9.5,Complete inventory/migration/backup/deletion; no private Core content in gameplay state; signed capability truth.
"Accessibility, mobile and controls",External proof pending,9.5,Keyboard/touch/gamepad/NVDA/zoom/mobile landscape/fullscreen work with no critical defect.
"Performance, resilience and disposal",External proof blocked,9.5,Core bundle City-free; explicit lazy loading; profile budgets; 4h endurance; twenty transitions; context-loss recovery.
Overall EONCITY,Not certified,≥9.5,"Every category ≥9.0, zero P0, zero first-party runtime errors, exact immutable candidate owner-approved."
