ID,Programme,Wave,Depends on,Purpose,Mandatory exit gate
I00,Core,Authority Merge and Immutable Baseline,None,"Refresh A14 against W802B commit fdc92595ca6d8fb941f45afb598a4a282dc70e62; verify archive, Git history, environment and ownership without product changes.",Approved W802B baseline hash; clean worktree; exact dependency/environment receipt; A14-to-W802B delta registry.
I01,Core,"System Disposition, Quarantine and Source Reduction",I00,Preserve A14 disposition work while refreshing every City/Expanse module added after a6cf226.,"Every active, archived, quarantined and missing system has one owner/disposition; archived code is not emitted."
I02,Core,"Current Route, Build, Capability and Test Authority","I00,I01",Create one current route/build/test/capability authority for the W802B baseline.,Deterministic inputs and manifests; stale current documents retired; compatibility pages excluded as active product authority.
I03,Core,Minimal Core Shell and Optional EONCITY Bridge,I02,Remove City implementation from normal Core route graphs and define a lazy optional bridge.,All primary Core routes operate with City unavailable and contain zero City implementation imports.
I04,Core,"Canonical Destinations, Handoffs and Continue","I02,I03","Unify route destinations, handoffs, return and Continue across Chat, Create, Forge, Projects, Library, Workspace, Vault and City.",Every fixed destination and return path passes browser and stale-handoff tests.
I05,Core,Universal Project Registry and Lifecycle Migration,I04,"Migrate ordinary, Forge, Creator and workspace records into one Project authority.","Counts, digests, rollback and active/archive semantics pass; no orphan project identities."
I06,Core,"Unified Library, Storage Quotas and No-Eviction Capacity",I05,Unify Library indexes and enforce safe capacity behavior.,No silent slicing or durable record eviction; archive/export/delete/upgrade choices work at every boundary.
I07,Core,"Data Survival Centre, Backup, Restore, Migration and Deletion","I05,I06",Build one inventory-driven data survival authority covering all Core and later City adapters.,"Coverage, restore, migration and deletion receipts prove complete behavior; raw media is portable."
I08,Core,"Identity, Profile Migration and Credential Custody","I02,I07","Enforce session-only BYOK default, verified encrypted writes and clean profile migration.","No weak entropy/plaintext legacy lookup; secrets absent from evidence, logs, exports and screenshots."
I09,Core,Capability and Entitlement Service,"I02,I05,I06,I08","Make plan limits, certified feature state and EONKEY unlocks affect real behavior through one signed authority.","Free/Plus/Studio/Power/Max and EONKEY behavior is exact, testable and server-authoritative where required."
I10,Core,Canonical AI Request Executor,"I08,I09","Unify consent, provider/model selection, cancellation, attempts and fallback.",One executor; normal Chat loads no retired orchestrator; no hidden provider selection or retry.
I11,Core,"Provider Contracts, Search Truth, Attachments and Cost Provenance",I10,"Certify search disclosure, citations, attachments, context coverage and attempt-level cost.",No silent web search or paid retry; complete provenance/cost/context omission receipts.
