wave,status,implemented,pending_or_gate
W649A,COMPLETE_LOCAL,"W648D authority verified; clean baseline; source fingerprint; baseline tests/gates; Git rollback point","None for local baseline"
W649B,COMPLETE_LOCAL,"Signed-out premium static portal; no public 3D preview; dynamic heavy import only after authorization","Real Google headed network proof"
W649C,COMPLETE_LOCAL,"38 logical assets; 76 content-hashed binaries; 33 active; primary and decoder-free variants; manifests and hash checks","Visual validation remains external"
W649D,CODE_COMPLETE_LOCAL,"Pathfinder Prime with Pathfinder A fallback; EONBOT model/procedural fallback; animation coordinator; anchor lock; disposal","Headed control/deformation/owner visual proof"
W649E,CODE_COMPLETE_LOCAL,"Orientation Hall and Creator Atrium residency/actions integrated; Orientation starts after core","First headed owner gate and Pathfinder lock"
W649F,CODE_COMPLETE_LOCAL,"Forge Basilica, Device Lab, X1 Worker, Holo Operator and Specialist integrated with explicit route-backed actions","Headed Forge action and no-fake-state certification"
W649G,CODE_COMPLETE_LOCAL,"Archive, Vault, Trade and transit districts; one steward; optional Sentinel; local assets and cleanup","Headed placement, clipping and accessible interaction proof"
W649H,PARTIAL_HONEST,"Bounded Lite/Balanced/Cinematic profiles; one resident district; Lite population bound; primitive collisions; procedural distant representation","True geometric LOD generation; real-device FPS/memory/context-loss/cache/abort/mobile proof"
W649I,LOCAL_CANDIDATE_GATES_PASS,"286 maintained files; 1073 tests; lint/build/smoke/site/launch/security/dependency gates; dist emission gate for all 76 GLBs and decoder","Forge headed proof; real authenticated City browser proof; immutable Preview evidence"
W649J,PENDING_CODEX,"Exact candidate branch/PR and Cloudflare Preview procedure/spec are prepared","Codex must execute real Google desktop/mobile Preview certification"
W649K,BLOCKED_BY_OWNER_GO,"Production promotion and rollback sequence preserved","Explicit owner GO only after Preview evidence approval"
W650,COMPLETE_LOCAL,"Authenticated-only cache inspection; release-stable content-hashed GLB cache; immutable Cloudflare headers; app code revalidation; beautiful truthful progress; first-frame plus starter-assets readiness latch; 62/62 protected local keys survived update","Real browser persistence grant/eviction observation; Google-authenticated Cloudflare Preview; production owner GO"
W651,CODE_COMPLETE_LOCAL,"Premium GLB visual bridge; authored materials preserved; bounded lights; one explicit dynamic shadow owner; imported visuals non-pickable/non-collision; cinematic shadow receiving; disposal","Headed scale/placement/deformation/clipping review; real-device FPS/memory/context-loss proof; owner art approval"
